pathway	feature_ids
Aminoacyl-tRNA biosynthesis	tM(CAU)Q2
Aminoacyl-tRNA biosynthesis	TC(GCA)B
Aminoacyl-tRNA biosynthesis	tI(UAU)D
Aminoacyl-tRNA biosynthesis	tG(GCC)P1
Aminoacyl-tRNA biosynthesis	tD(GUC)I2
Aminoacyl-tRNA biosynthesis	tH(GUG)Q
Aminoacyl-tRNA biosynthesis	tH(GUG)K
Aminoacyl-tRNA biosynthesis	tT(UGU)H
Aminoacyl-tRNA biosynthesis	tG(GCC)P2
Aminoacyl-tRNA biosynthesis	TD(GUC)J1
Aminoacyl-tRNA biosynthesis	TW(CCA)G1
Aminoacyl-tRNA biosynthesis	TD(GUC)J2
Aminoacyl-tRNA biosynthesis	tE(UUC)J
Aminoacyl-tRNA biosynthesis	TF(GAA)P1
Aminoacyl-tRNA biosynthesis	tE(UUC)G2
Aminoacyl-tRNA biosynthesis	tE(UUC)M
Aminoacyl-tRNA biosynthesis	TF(GAA)P2
Aminoacyl-tRNA biosynthesis	tE(UUC)L
Aminoacyl-tRNA biosynthesis	ALA1
Aminoacyl-tRNA biosynthesis	TYS1
Aminoacyl-tRNA biosynthesis	TD(GUC)J3
Aminoacyl-tRNA biosynthesis	TD(GUC)J4
Aminoacyl-tRNA biosynthesis	TK(UUU)K
Aminoacyl-tRNA biosynthesis	TK(UUU)G1
Aminoacyl-tRNA biosynthesis	CDC60
Aminoacyl-tRNA biosynthesis	TK(UUU)L
Aminoacyl-tRNA biosynthesis	TV(AAC)O
Aminoacyl-tRNA biosynthesis	TG(GCC)B
Aminoacyl-tRNA biosynthesis	tP(UGG)N1
Aminoacyl-tRNA biosynthesis	tP(UGG)N2
Aminoacyl-tRNA biosynthesis	tE(UUC)G3
Aminoacyl-tRNA biosynthesis	AIM10
Aminoacyl-tRNA biosynthesis	tT(AGU)O1
Aminoacyl-tRNA biosynthesis	tI(AAU)L2
Aminoacyl-tRNA biosynthesis	tI(AAU)L1
Aminoacyl-tRNA biosynthesis	tT(AGU)O2
Aminoacyl-tRNA biosynthesis	tE(UUC)Q
Aminoacyl-tRNA biosynthesis	tE(UUC)P
Aminoacyl-tRNA biosynthesis	TK(CUU)F
Aminoacyl-tRNA biosynthesis	TD(GUC)I1
Aminoacyl-tRNA biosynthesis	FMT1
Aminoacyl-tRNA biosynthesis	TK(CUU)C
Aminoacyl-tRNA biosynthesis	tW(CCA)J
Aminoacyl-tRNA biosynthesis	tQ(UUG)E2
Aminoacyl-tRNA biosynthesis	tR(UCU)J1
Aminoacyl-tRNA biosynthesis	tQ(UUG)E1
Aminoacyl-tRNA biosynthesis	MSK1
Aminoacyl-tRNA biosynthesis	CDC65
Aminoacyl-tRNA biosynthesis	TV(AAC)L
Aminoacyl-tRNA biosynthesis	TE(CUC)I
Aminoacyl-tRNA biosynthesis	TK(UUU)D
